sp500_yf_tickers,sp500_tickers
GOOGL,GOOGL
AAPL,AAPL
MSFT,MSFT
XOM,XOM
JPM,JPM
JNJ,JNJ
BRK-B,BERKSHIRE
AMZN,AMZN
TSLA,TSLA
UNH,UNH
PG,PROCTER
META,META
V,VISA
HD,HOME
NVDA,NVDA
CVX,CVX
LLY,LLY
ABBV,ABBV
MA,MASTERCARD
PFE,PFE
MRK,MRK
PEP,PEP
KO,COCA
COST,COST
BAC,BAC
TMO,TMO
WMT,WMT
ABT,ABT
MCD,MCD
AVGO,AVGO
DIS,DIS
DHR,DHR
CSCO,CSCO
ACN,ACN
WFC,WFC
VZ,VERIZON
NEE,NEE
BMY,BMY
COP,COP
CRM,CRM
TXN,TXN
LIN,LIN
ADBE,ADBE
PM,PHILIP
AMGN,AMGN
CMCSA,CMCSA
LOW,LOW
RTX,RTX
QCOM,QCOM
UNP,UNP
HON,HON
UPS,UPS
CVS,CVS
ELV,ELV
NKE,NKE
SCHW,SCHW
MDT,MDT
INTU,INTU
IBM,IBM
MS,MORGAN STANLEY
INTC,INTC
DE,DEERE
SPGI,SPGI
GS,GOLDMAN
SBUX,SBUX
LMT,LMT
PYPL,PYPL
NFLX,NFLX
CAT,CAT
ORCL,ORCL
ADP,ADP
AMD,AMD
PLD,PLD
CI,CIGNA
AMT,AMT
TMUS,TMUS
AXP,AXP
GILD,GILD
BLK,BLK
MO,ALTRIA
REGN,REGN
C,CITIGROUP
CB,CHUBB
MDLZ,MDLZ
MMC,MMC
VRTX,VRTX
TJX,TJX
NOW,NOW
NOC,NOC
BA,BOEING
ADI,ADI
PGR,PGR
EOG,EOG
TGT,TGT
SYK,SYK
GE,GENERAL ELECTRIC
DUK,DUK
ZTS,ZTS
SO,SOUTHERN
ISRG,ISRG
AMAT,AMAT
BKNG,BKNG
BDX,BDX
HUM,HUM
FISV,FISV
CME,CME
PNC,PNC
MMM,MMM
MU,MICRON
SLB,SLB
WM,WASTE
PXD,PXD
AON,AON
CL,COLGATE
CCI,CCI
CSX,CSX
BSX,BSX
TFC,TFC
DG,DOLLAR GENERAL
ETN,ETN
D,DOMINION
USB,USB
ITW,ITW
ATVI,ATVI
MPC,MPC
GD,GENERAL DYNAMICS
APD,APD
EW,EDWARDS LIFESCIENCES
ICE,ICE
MCK,MCK
NSC,NSC
EL,ESTEE
ADM,ADM
SHW,SHW
OXY,OXY
EQIX,EQIX
GM,GENERAL MOTORS
ORLY,ORLY
EMR,EMR
GIS,GIS
SRE,SRE
PSA,PSA
F,FORD
FIS,FIS
DVN,DVN
LRCX,LRCX
LHX,LHX
AZO,AZO
CTVA,CTVA
HCA,HCA
AEP,AEP
PSX,PSX
VLO,VLO
CNC,CNC
MET,MET
SNPS,SNPS
FCX,FCX
ADSK,ADSK
CMG,CMG
MRNA,MRNA
CDNS,CDNS
APH,APH
KLAC,KLAC
DXCM,DXCM
ROP,ROP
MAR,MAR
MCO,MCO
